datetime,grid1-loss,snow_depth,season_x,week_x,month_x,dew_point,dew_point_max,dew_point_min,grid1-temp_min,dew_point_mean,grid1-temp_max,temperature_max,grid1-temp,grid1-load,temperature,temperature_min,grid1-temp_mean,temperature_mean,ewma,demand
2019-11-21 10:00:00+00:00,31.1783,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,-0.81,-0.81,-4.64,-0.6999999999999886,-3.6175,4.5,2.3,4.5,544.741,2.3,0.11,1.4958333333333538,0.7162500000000004,31.443087801365927,442.2559281952
2019-11-22 10:00:00+00:00,28.0829,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,2.39,3.81,0.18,4.0,2.3370833333333336,6.2000000000000455,7.23,6.2000000000000455,557.882,6.27,2.99,4.854166666666688,5.69875,31.20763107642741,431.5124885818
2019-11-23 10:00:00+00:00,24.6598,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,2.32,3.27,1.73,3.400000000000034,2.4708333333333337,6.900000000000034,7.07,5.300000000000011,514.961,5.54,5.54,4.89166666666669,6.557500000000001,28.429032735515097,394.5996262322
2019-11-24 10:00:00+00:00,25.4702,3333.0,-1.8369701987210287e-16,0.7485107481711007,0.5000000000000001,1.07,2.3,1.01,1.6000000000000227,1.555416666666667,5.900000000000034,5.45,3.7000000000000455,443.4,4.17,4.05,3.2291666666666856,4.610416666666667,25.077325478393664,380.4781622218
2019-11-25 10:00:00+00:00,29.0458,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.5000000000000001,0.85,1.57,0.81,1.3000000000000114,1.1470833333333337,4.5,4.45,1.400000000000034,510.195,4.07,3.86,2.475000000000028,4.074166666666667,25.42668050038493,431.9209179536
2019-11-26 10:00:00+00:00,27.9314,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.5000000000000001,2.14,2.3,-0.31,-0.5,0.8970833333333336,1.7000000000000457,4.17,0.5,497.689,3.95,2.93,0.350000000000025,3.5379166666666664,28.64490286616088,434.1089809356
2019-11-27 10:00:00+00:00,30.5021,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.5000000000000001,-3.11,1.85,-3.11,-0.1999999999999886,-0.6058333333333331,1.0,3.95,0.5,509.389,0.78,0.78,0.362500000000016,2.438333333333334,28.010436145134285,431.8547702568
2019-11-28 10:00:00+00:00,31.6803,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.5000000000000001,-3.9,-3.25,-4.56,-0.5,-4.008333333333333,1.0,0.65,-0.5,506.779,-2.15,-2.26,0.3083333333333489,-1.1074999999999997,30.226093391759388,434.6113210236
2019-11-29 10:00:00+00:00,32.4555,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.5000000000000001,-4.89,-1.09,-4.89,-2.2999999999999545,-3.1825,0.3000000000000113,2.27,0.3000000000000113,477.438,2.11,-1.96,-1.0208333333333144,0.2300000000000003,31.51921461408898,428.839624648
2019-11-30 10:00:00+00:00,31.5208,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.5000000000000001,-4.18,-1.38,-7.38,-1.099999999999966,-4.087083333333333,0.6000000000000227,1.95,-0.2999999999999545,442.944,0.16,-0.63,-0.4708333333333149,0.8162500000000005,32.35178578782571,398.0817772017
2019-12-01 10:00:00+00:00,27.3727,3333.0,-1.8369701987210287e-16,0.8229838658936564,0.8660254037844384,-1.79,-0.47,-3.71,-0.7999999999999545,-1.6525,0.3000000000000113,3.66,-0.6999999999999886,451.139,1.34,0.15,-0.2416666666666435,1.8050000000000008,31.61284996426225,377.9599235727
2019-12-02 10:00:00+00:00,34.4122,3333.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,-3.52,-0.46,-4.32,-2.0,-2.494166666666666,-0.1999999999999886,2.38,-0.6999999999999886,488.254,2.12,0.78,-0.9916666666666458,1.6087500000000006,27.842389925381468,425.8088313629
2019-12-03 10:00:00+00:00,30.7214,3333.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,1.0,1.0,-4.96,-1.2999999999999543,-2.2729166666666667,4.600000000000023,2.96,4.600000000000023,475.524,1.69,-1.26,0.787500000000018,0.777916666666667,33.68444894644619,416.5910792964
2019-12-04 10:00:00+00:00,27.1225,3333.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,2.33,6.71,2.33,2.6000000000000227,4.694166666666667,7.2000000000000455,7.82,2.900000000000034,499.774,4.68,3.08,5.750000000000024,6.452916666666667,31.04962288133389,397.5668259864
2019-12-05 10:00:00+00:00,29.5575,3333.0,-1.8369701987210287e-16,0.88545602565321,0.8660254037844384,1.27,2.23,-3.06,1.6000000000000227,0.4575000000000002,5.7000000000000455,4.96,2.5,512.144,4.23,2.93,3.333333333333362,4.272916666666667,27.55751528687524,408.592932966
